APMC's,Commodity,Min Price(Price in Rs.),Modal Price(Price in Rs.),Max Price(Price in Rs.)
ADONI,CASTOR SEED,5750,6038,6038
ADONI,SUN FLOWER SEEDS,4251,4251,4251
ADONI,COTTON,4080,7729,7729
ADONI,GROUND NUT,2700,5190,6367
ADONI,ARHAR WHOLE / TUR (RED GRAM),5787,5787,5787
ADONI,COTTON,5380,7729,7729
ADONI,GROUND NUT,3400,5493,5893
ADONI,CASTOR SEED,5750,6038,6038
ADONI,SUN FLOWER SEEDS,2251,3251,4251
ANANTHAPURAMU,MOUSAMBI,300,1400,2653
DENDULURU,LEMON,5000,5000,12000
ELURU,LEMON,6500,8000,12000
ELURU,LEMON,6500,8000,12000
GUNTUR,CHILLI- ARMOUR,6000,9500,10000
GUNTUR,CHILLI-4884,7500,9500,14000
GUNTUR,CHILLI-334,4000,10000,14000
GUNTUR,CHILLI-DEVANURU DELUX,7000,11000,13000
GUNTUR,CHILLI BADIGA,10000,10600,11500
GUNTUR,CHILLI-4884,7500,9500,14000
GUNTUR,CHILLI-TEJA,4000,12500,14500
GUNTUR,CHILLI- ARMOUR,9500,10000,10000
GUNTUR,CHILLI-341,10000,13000,14000
GUNTUR,CHILLI-DEVANURU DELUX,7000,11000,13000
GUNTUR,CHILLI-341,7000,13000,14000
GUNTUR,CHILLI-BADIGI A/C,10500,10500,10500
GUNTUR,CHILLI-TEJA,4000,11000,14500
GUNTUR,CHILLI-TEJA,4000,12500,14500
GUNTUR,CHILLI-SUPER10,11000,11000,11000
GUNTUR,CHILLI BANGARAM,10200,10200,10200
GUNTUR,CHILLI-TEJA,6700,13300,14000
GUNTUR,CHILLI-273,8200,12500,12500
GUNTUR,CHILLI BADIGA,6000,8000,21000
GUNTUR,CHILLI-341,7000,12300,14600
GUNTUR,CHILLI-273,8200,12500,12500
GUNTUR,CHILLI-5,8000,9500,14500
GUNTUR,CHILLI-341,7000,12300,14600
GUNTUR,CHILLI-SUPER10,11000,11000,11000
GUNTUR,CHILLI BADIGA,7000,8000,11500
GUNTUR,CHILLI-334,8000,10600,13500
GUNTUR,CHILLI-5,8000,9500,14500
GUNTUR,CHILLI-THAALU,2000,6000,13500
GUNTUR,CHILLI-334,5000,8000,13500
GUNTUR,CHILLI-5,11500,11500,11500
GUNTUR,CHILLI-SUPER10,11000,11000,11000
GUNTUR,CHILLI-DEVANURU DELUX,11000,13000,13000
GUNTUR,CHILLI-DEVANURU DELUX,11000,11000,12000
GUNTUR,CHILLI-THAALU,3500,6700,12200
GUNTUR,CHILLI-THAALU,2000,6000,13500
GUNTUR,CHILLI BADIGA,6000,8000,21000
GUNTUR,CHILLI-SUPER10 A/C,10500,10500,10500
GUNTUR,CHILLI- ARMOUR,6000,9500,10000
GUNTUR,CHILLI-THAALU,4000,6800,12200
GUNTUR,CHILLI-334,4000,10000,14000
KADAPA,GROUND NUT,6101,6101,6101
KALIKIRI,TOMATO,950,1160,1330
MADANAPALLE,TOMATO,800,1000,2300
PALAMANER,CABBAGE,1000,1000,1000
PALAMANER,BEANS -CLUSTER,5000,5000,5000
PALAMANER,POTATO,1500,1600,1600
PALAMANER,TOMATO,1000,1200,1200
PALAMANER,BRINJAL,2500,2500,2500
PALAMANER,CAULIFLOWER,1000,1100,1100
PALAMANER,GREEN CHILLI,3000,5000,5000
PALAMANER,RIDGE GOURD (TURAI),1500,1700,1700
PIDUGURALLA,CHILLI-334,8600,9500,12000
PIDUGURALLA,CHILLI-TEJA,9000,12000,13000
PIDUGURALLA,CHILLI-TEJA,9000,12100,12900
PIDUGURALLA,CHILLI-334,8000,11500,12000
PUNGANUR,TOMATO,1000,1070,1140
TENALI,LEMON,8500,8540,11000
CHANDIGARH SECTOR-26,POMEGRANATE,14000,14000,14000
CHANDIGARH SECTOR-26,GINGER,3300,3400,4100
CHANDIGARH SECTOR-26,ONION,1600,2000,2050
CHANDIGARH SECTOR-26,APPLE,5500,13000,13000
CHANDIGARH SECTOR-26,GARLIC,4500,5600,6100
CHANDIGARH SECTOR-26,LEMON,6400,6500,8000
CHANDIGARH SECTOR-26,POTATO,380,450,600
AMBIKAPUR,PADDY-MAHAMAYA,2305,2305,2305
BEMETARA,WHEAT,2100,2350,2450
BHATAPARA,PADDY-VISHNUBHOG,5700,5870,5871
BHATAPARA,PADDY COMMON,2185,2811,2960
BHATAPARA,WHEAT,2250,2465,2465
KATGHORA,PADDY,2150,2150,2150
KAWARADHA,WHEAT,2260,2386,2386
KAWARADHA,LAKH/TEORA,4030,4030,4030
KAWARADHA,CHANA (BENGAL GRAM),3903,5460,5573
KAWARADHA,CHANA (BENGAL GRAM),3903,5481,5481
KAWARADHA,WHEAT,2260,2394,2394
KAWARADHA,LAKH/TEORA,3971,3971,4030
MUNGELI,CHANA (BENGAL GRAM),5630,5630,5630
MUNGELI,PADDY-MAHAMAYA,2370,2550,2550
MUNGELI,CHANA (BENGAL GRAM),5290,5630,5660
MUNGELI,WHEAT,2340,2340,2340
MUNGELI,WHEAT,2290,2380,2390
NAVAPARA,SWARNA PADDY,2150,2258,2268
NAVAPARA,PADDY-MTU 1010,2200,2238,2240
NAVAPARA,PADDY-MAHAMAYA,2230,2230,2254
RAIPUR,PADDY-MAHAMAYA,1800,1800,2208
RAIPUR,PADDY-MTU 1010,2216,2236,2236
RAIPUR,SWARNA PADDY,1800,2200,2200
RAIPUR,PADDY-MAHAMAYA,1850,2000,2208
RAIPUR,SWARNA PADDY,1800,2200,2200
RAJIM,PADDY SAMBA MASURI,2000,2388,2402
RAJIM,SWARNA PADDY,1920,2250,2260
RAJIM,PADDY-1008,1251,2225,2237
RAJNANDGAON,PADDY-BPT,2350,2350,2350
RAJNANDGAON,PADDY-SWARNAMASOORI,2090,2090,2090
RAJNANDGAON,SOYABEANS,4051,4051,4051
RAJNANDGAON,LAKH/TEORA,4075,4221,4230
RAJNANDGAON,PEAS GREEN ,4700,4801,4801
RAJNANDGAON,PADDY-MAHAMAYA,1750,2575,2575
RAJNANDGAON,WHEAT,2390,2770,2770
RAJNANDGAON,CHANA (BENGAL GRAM),5350,5500,5681
RAJNANDGAON,MASOOR,5600,5615,5630
SARAIPALI,PADDY-MTU1001,2045,2065,2095
BHABHAR,CASTOR SEED,6000,6237,6240
BHARUCH,POTATO,1550,1800,1800
BHARUCH,ONION,1750,1850,1900
BHARUCH,GARLIC,1550,1550,1600
BHILODA,WHEAT,2411,2540,2780
BHILODA,MAIZE,2425,2425,2425
BHILODA,CASTOR SEED,6020,6020,6020
BODELI,COTTON,7001,7300,7401
CHIKHLI APMC,CHIKOOS,1800,2470,4290
CHOTILA APMC,COTTON,6500,6500,6750
CHOTILA APMC,CUMMIN,17500,17500,17500
CHOTILA APMC,WHEAT,2450,2450,2700
CHOTILA APMC,CHANA (BENGAL GRAM),4650,4650,4650
CHOTILA APMC,TURMERIC ATTU,6450,6450,6450
DHANERA,MUSTARD,5180,5250,5430
FATEHPURA APMC,CHANA (BENGAL GRAM) ,5310,5310,5310
HALVAD,CUMMIN,18596,19636,19656
IDAR APMC,CHANA (BENGAL GRAM),6900,10675,10845
JETPUR,WHEAT,2280,2510,2585
MAHEMDAVAD,WHEAT,2450,2450,2450
MAHUVA,ONION WHITE,2203,2262,2358
MAHUVA APMC GJ,POINTED GOURD (PARWAL),3400,3500,3500
MAHUVA APMC GJ,POINTED GOURD (PARWAL),3400,3450,3450
MAHUVA APMC GJ,LADY FINGER,2250,2250,2250
MORBI,CASTOR SEED,5800,5850,5850
MORBI,WHITE-GINGELY,8870,8870,8870
MORBI,COTTON,7225,7225,7225
MORBI,MUSTARD,5200,5200,5200
MORBI,CHANA (BENGAL GRAM) ,4950,4950,4950
PANTHAWADA,MUSTARD,5595,5595,5595
PAVI-JETPUR,COTTON,6540,6575,6780
PAVI-JETPUR,COTTON,6540,6575,6790
PORBANDAR,GROUND NUT,4210,4270,4270
PORBANDAR,CUMMIN,18350,19700,19700
PORBANDAR,WHEAT,2480,2480,2480
PORBANDAR,CORIANDAR,6485,6750,6750
SANAND,WHEAT,2255,2460,2805
SANAND,WHEAT,2255,2460,2805
SANJELI APMC,MAIZE,2550,2600,2600
SANJELI APMC,WHEAT,2400,2400,2450
SANJELI APMC,PADDY,2550,2550,2600
SANJELI APMC,CHANA (BENGAL GRAM),5200,5350,5350
SAVARKUNDLA,CHANA (BENGAL GRAM),5200,5295,5295
SIDDHPUR,CASTOR SEED,6300,6300,6300
VALSAD,CHIKOOS,2150,2250,2500
VISNAGAR,CASTOR SEED,6005,6070,6215
ADAMPUR,AMERICAN-COTTON,6750,7350,7401
ADAMPUR,AMERICAN-COTTON,6750,7350,7401
ADAMPUR,AMERICAN-COTTON,6750,7325,7401
ADAMPUR,GUAR SEEDS,4250,4920,4951
ADAMPUR,GUAR SEEDS,4250,4920,4951
ADAMPUR,BARLEY (JAU),1900,1950,1950
ADAMPUR,BARLEY (JAU),1900,1950,1950
